"Classement","Films","Émission","Timestamp","tconst"
"209","Devil Story","77","1h 23m 43s","tt0233004"
"210","Possessions","44","0h 50m 20s","tt0082933"
"211","Batman","4","1h 27m 50s","tt0060153"
"212","Tootsie","45","0h 18m 46s","tt0084805"
"213","Rien que pour vos yeux","44","1h 18m 58s","tt0082398"
"214","Flash","3","0h 18m 03s","tt0080745"
"215","L’histoire sans fin","1","0h 55m 16s","tt0088323"
"216","Bloodsport","0","0h 21m 00s","tt0092675"
"217","Labyrinth","51","0h 46m 18s","tt0091369"
"218","Transformers: The Movie","46","0h 32m 27s","tt0092106"
"219","Le Chasseur","163","0h 10m 25s","tt0080907"
"220","A la poursuite du diamant vert","6","0h 38m 10s","tt0088011"
"221","The Blob","2","0h 52m 53s","tt0094761"
"222","Inspecteur La bavure","76","0h 27m 36s","tt0080929"
"223","Ghostbusters 2","45","0h 45m 40s","tt0097428"
"224","Les rois du gag","2","0h 06m 41s","tt0089929"
"225","Tango & Cash","44","0h 57m 26s","tt0098439"
"226","Karate kid: Le Moment de vérité II","160","0h 48m 58s","tt0087538"
"227","Cannibal Holocaust","125","0h 56m 39s","tt0078935"
"228","Turkish Star Wars","77","1h 09m 19s","tt0182060"
"229","Dangereusement vôtre","2","0h 21m 52s","tt0090264"
"230","Samourai Cop","52","0h 52m 04s","tt0130236"
"231","Piège mortel à Hawai","53","1h 21m 39s","tt0093146"
"232","Dirty Dancing","161","0h 32m 01s","tt0092890"
"233","Le Grand Bleu","49","0h 04m 23s","tt0095250"
"234","Nimitz, retour vers l’enfer","5","0h 53m 28s","tt0080736"
"235","Superman II","164","0h 56m 31s","tt0081573"
"236","Les Aventures de Buckaroo Banzaï à travers la 8e dimension","220","1h 17m 27s","tt0086856"
"237","Portés disparus 3","82","0h 21m 55s","tt0094792"
"238","L’homme puma","80","0h 11m 03s","tt0081693"
"239","Running Man","1","0h 23m 10s","tt0093894"
"240","Les Compères","223","0h 32m 23s","tt0085354"
"241","Roar","79","0h 33m 56s","tt0083001"
"242","Howard The Duck","1","0h 10m 22s","tt0091225"
"243","Y a-t-il un flic pour sauver la reine?","163","1h 20m 15s","tt0095705"
"244","Police Academy 2 : Au boulot !","163","1h 10m 50s","tt0089822"
"245","Vivre pour survivre","52","0h 39m 55s","tt0088359"
"246","Critters","2","0h 42m 51s","tt0090887"
"247","Little Shop of Horrors","0","0h 49m 11s","tt0091419"
"248","Tiger on the Beat","82","0h 31m 14s","tt0095491"
"249","Sens unique","224","0h 41m 28s","tt0093640"
"250","Krull","51","0h 37m 35s","tt0085811"
"251","La petite sirène","2","0h 29m 16s","tt0097757"
"252","Big","6","1h 05m 16s","tt0094737"
"253","Tequilla Sunrise","44","0h 18m 32s","tt0096244"
"254","Lévy et Goliath","166","0h 29m 47s","tt0093411"
"255","Splash","1","0h 14m 56s","tt0088161"
"256","L’aigle de fer","5","0h 41m 16s","tt0091278"
"257","Diva","76","0h 17m 07s","tt0082269"
"258","La Boum","6","1h 29m 47s","tt0082100"
"259","Purple Rain","80","0h 30m 40s","tt0087957"
"260","Escape from the Bronx","1","0h 27m 25s","tt0089104"
"261","La lune dans le caniveau","76","1h 32m 19s","tt0085878"
"262","Les dieux sont tombés sur la tête","79","0h 06m 09s","tt0080801"
"263","Mad Max III","5","0h 30m 27s","tt0089530"
"264","P.R.O.F.S.","162","1h 32m 27s","tt0089762"
"265","Rue barbare","166","0h 13m 18s","tt0086212"
